UNITID,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,CIP01ASSOC,CIP01BACHL,CIP01CERT,CIP03ASSOC,CIP03BACHL,CIP03CERT,CIP04ASSOC,CIP04BACHL,CIP04CERT,CIP05ASSOC,CIP05BACHL,CIP05CERT,CIP09ASSOC,CIP09BACHL,CIP09CERT,CIP10ASSOC,CIP10BACHL,CIP10CERT,CIP11ASSOC,CIP11BACHL,CIP11CERT,CIP12ASSOC,CIP12BACHL,CIP12CERT,CIP13ASSOC,CIP13BACHL,CIP13CERT,CIP14ASSOC,CIP14BACHL,CIP14CERT,CIP15ASSOC,CIP15BACHL,CIP15CERT,CIP16ASSOC,CIP16BACHL,CIP16CERT,CIP19ASSOC,CIP19BACHL,CIP19CERT,CIP22ASSOC,CIP22BACHL,CIP22CERT,CIP23ASSOC,CIP23BACHL,CIP23CERT,CIP24ASSOC,CIP24BACHL,CIP24CERT,CIP25ASSOC,CIP25BACHL,CIP25CERT,CIP26ASSOC,CIP26BACHL,CIP26CERT,CIP27ASSOC,CIP27BACHL,CIP27CERT,CIP29ASSOC,CIP29BACHL,CIP29CERT,CIP30ASSOC,CIP30BACHL,CIP30CERT,CIP31ASSOC,CIP31BACHL,CIP31CERT,CIP38ASSOC,CIP38BACHL,CIP38CERT,CIP39ASSOC,CIP39BACHL,CIP39CERT,CIP40ASSOC,CIP40BACHL,CIP40CERT,CIP41ASSOC,CIP41BACHL,CIP41CERT,CIP42ASSOC,CIP42BACHL,CIP42CERT,CIP43ASSOC,CIP43BACHL,CIP43CERT,CIP44ASSOC,CIP44BACHL,CIP44CERT,CIP45ASSOC,CIP45BACHL,CIP45CERT,CIP46ASSOC,CIP46BACHL,CIP46CERT,CIP47ASSOC,CIP47BACHL,CIP47CERT,CIP48ASSOC,CIP48BACHL,CIP48CERT,CIP49ASSOC,CIP49BACHL,CIP49CERT,CIP50ASSOC,CIP50BACHL,CIP50CERT,CIP51ASSOC,CIP51BACHL,CIP51CERT,CIP52ASSOC,CIP52BACHL,CIP52CERT,CIP54ASSOC,CIP54BACHL,CIP54CERT,UGDS.x,FEMALE,UGDS_MEN,UGDS_WOMEN,UGDS_2MOR,UGDS_AIAN,UGDS_API,UGDS_ASIAN,UGDS_BLACK,UGDS_BLACKNH,UGDS_HISP,UGDS_NHPI,UGDS_NRA,UGDS_UNKN,UGDS_WHITE,UGDS_WHITENH,INC_PCT_H1,INC_PCT_H2,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,DEP_INC_PCT_H1,DEP_INC_PCT_H2,DEP_INC_PCT_LO,DEP_INC_PCT_M1,DEP_INC_PCT_M2,IND_INC_PCT_H1,IND_INC_PCT_H2,IND_INC_PCT_LO,IND_INC_PCT_M1,IND_INC_PCT_M2,pctDep,pctIndep,FAMINC,MD_FAMINC,AANAPII,ANNHI,HBCU,HSI,NANTI,PBI,TRIBAL,RELAFFIL,MENONLY,WOMENONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,NPT4_OTHER,NPT4_PRIV,NPT4_PROG,NPT4_PUB,PctWorking,pctMenWorking,PctWomenWorking,MD_EARN_WNE_P10,MN_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,SD_EARN_WNE_P10,MN_EARN_WNE_INDEP0_P10,MN_EARN_WNE_INDEP1_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,RET_FT4_POOLED,RET_FTL4_POOLED,RET_PT4_POOLED,RET_PTL4_POOLED,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,NPCURL,SCH_DEG,HCM2,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LOCALE2,CCBASIC,UGDS.y,UG
100690,0,0,0,0,0,0,0,0,0,0,0,0,0.0889,0,0,0.0889,0,0,0,0,0,0,0,0.4,0,0,0,0.0667,0,0,0,0,0,0,0,0,0.3556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,293,0.6486486486,0.3891,0.6109,0,0,0.0129,0,0.2355,0.383,0.0068,0.0034,0,0.5973,0.157,0.4602,0.023648648649999993,0.023648648649999993,0.7736486486,0.1148648649,0.0641891892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10472972972972973,0.8952702702702703,21079.472973,15033.5,0,0,0,0,0,0,0,74,0,0,13380,NA,7180,7180,NA,NA,10155,NA,NA,0.7589285714285714,0.39285714285714285,0.36607142857142855,39600,47600,6800,25200,60300,79500,38600,NA,NA,38700,56000,0.24,NA,0.25,NA,Amridge University,Montgomery,AL,36117-3553,Southern Association of Colleges and Schools Commission on Colleges,www.amridgeuniversity.edu,www2.amridgeuniversity.edu:9091/,3,0,3,4,2,1,5,12,NULL,20,293,98
101240,0.0033,0,0,0,0.0059,0,0.0117,0.0309,0,0,0.1363,0,0.0226,0.0134,0,0.1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192,0.2258,0.0928,0,0,0.1848,0.0736,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,4540,0.6180606958,0.3993,0.6007,0.0244,0.0093,0,0.0062,0.2035,0,0.0328,0.0011,0.0216,0.0033,0.6978,0,0.002775721700000011,0.002775721700000011,0.7279792746,0.1876387861,0.0788304959,0.02708884200000002,0.02708884200000002,0.6429042904,0.2501650165,0.02708884200000002,0.02708884200000002,0.02708884200000002,0.8365627633,0.1078348778,0.02708884200000002,0.5606957809030347,0.43930421909696526,19449.725019,16623,0,0,1,0,0,0,0,-1,0,0,9714,NA,3264,6072,NA,NA,NA,NA,3908,0.7880244755244755,0.2556818181818182,0.5323426573426573,26700,30200,5600,14100,41500,58300,21500,31300,29300,27000,36800,NA,0.5661,NA,0.4397,Gadsden State Community College,Gadsden,AL,35903,Southern Association of Colleges and Schools Commission on Colleges,www.gadsdenstate.edu,www.gadsdenstate.edu/net-price-calculator,2,0,1,2,1,1,5,13,NULL,8,4540,4787
101277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,NA,0.0244,0.9756,0,0,NA,0,0.0122,NA,0.1098,0,0,0,0.878,NA,0.044247787633333334,0.044247787633333334,0.6991150442,0.1681415929,0.044247787633333334,0.07597962382500001,0.07597962382500001,0.5818181818,0.07597962382500001,0.07597962382500001,0.07597962382500001,0.07597962382500001,0.8103448276,0.07597962382500001,0.07597962382500001,0.48672566371681414,0.5132743362831859,22762.19469,17173,0,0,0,0,0,0,0,-1,0,0,NA,13057,NA,NA,10050,NA,8781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8545,NA,0.25,New Beginning College of Cosmetology,Albertville,AL,35951,National Accrediting Commission of Career Arts and Sciences,www.nbccosmetology.com,nbccosmetology.com/sa/nbc_zonemap/,1,0,1,1,3,1,5,32,NULL,-2,82,NULL
101286,0,0,0,0,0,0,0.0144,0.0298,0,0,0.0842,0,0.0431,0,0,0.2341,0,0,0,0,0,0,0,0,0,0.0041,0,0.0236,0,0,0.0318,0.0308,0.0749,0,0,0.385,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3904,0.667740451,0.3399,0.6601,0.0192,0.0036,0,0.0069,0.2992,0,0.0315,0.0018,0,0.0018,0.636,0,0.0034514495999999895,0.0034514495999999895,0.7616198803,0.1569259089,0.0745513116,0.025725267600000008,0.025725267600000008,0.696031746,0.2,0.025725267600000008,0.025725267600000008,0.025725267600000008,0.852135816,0.0974808324,0.025725267600000008,0.5798435342843995,0.4201564657156005,19125.651634,15816,0,0,0,0,0,0,0,-1,0,0,9322,NA,4320,7830,NA,NA,NA,NA,3321,0.8110846245530393,0.233015494636472,0.5780691299165673,24700,29800,7100,14200,40400,64200,25700,29100,30300,26800,37300,NA,0.5991,NA,0.4489,George C Wallace Community College-Dothan,Dothan,AL,36303-9234,Southern Association of Colleges and Schools Commission on Colleges,www.wallace.edu,www.wallace.edu/net_price_calculator.aspx,2,0,2,2,1,1,5,13,NULL,7,3904,3612
101301,0,0,0,0,0,0,0.0249,0.0524,0,0,0.0299,0,0,0,0,0.3666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1097,0.0274,0.1322,0,0,0.1546,0.1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1397,0.5991341991,0.3608,0.6392,0.0057,0.0036,0,0.0021,0.7402,0,0.0072,0,0.0093,0.0172,0.2147,0,0.015007215000000018,0.015007215000000018,0.845021645,0.10995671,0.015007215000000018,0.014682453983333343,0.014682453983333343,0.8284993695,0.1248423707,0.014682453983333343,0.014682453983333343,0.014682453983333343,0.8812154696,0.0773480663,0.014682453983333343,0.6865800865800866,0.3134199134199134,15431.714286,14330,0,0,0,0,0,1,0,-1,0,0,13819,NA,4080,7590,NA,NA,NA,NA,7161,0.7728937728937729,0.24633699633699635,0.5265567765567766,23300,27300,6100,13300,36600,57100,19800,26300,28300,24800,32500,NA,0.5641,NA,0.3492,George C Wallace State Community College-Selma,Selma,AL,36703-2808,Southern Association of Colleges and Schools Commission on Colleges,www.wccs.edu,www.wccs.edu/financial-aid/net-price-calculator/,2,0,2,2,1,1,5,32,NULL,9,1397,1445
101453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,NA,0.94,0.06,0.04,0.04,0,0.02,0.14,0,0,0,0.02,0.02,0.72,0,0.15,0.15,0.15,0.4,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33173.64,36524,0,0,0,0,0,0,0,74,0,0,19353,NA,9792,9792,NA,NA,9009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5882,NA,NA,NA,Heritage Christian University,Florence,AL,35630-9977,Association for Bibical Higher Educaiton,www.hcu.edu,www.hcu.edu/netpricecalculator/,3,0,3,4,2,1,5,13,NULL,24,50,95
101462,0,0,0,0,0,0,0.0802,0.2217,0,0,0.1981,0,0,0,0,0.0142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.0189,0.0755,0,0,0.2123,0.1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,794,0.5610859729,0.461,0.539,0.0277,0.0088,0,0.005,0.5655,0,0.0239,0,0.0227,0.0063,0.3401,0,0.017094017100000025,0.017094017100000025,0.8340874811,0.1146304676,0.017094017100000025,0.018222506400000005,0.018222506400000005,0.7720588235,0.1544117647,0.018222506400000005,0.018222506400000005,0.018222506400000005,0.8772378517,0.0869565217,0.018222506400000005,0.41025641025641024,0.5897435897435898,16557.179487,13959,0,0,1,0,0,0,0,-1,0,0,11938,NA,4350,7860,NA,NA,NA,NA,6382,0.8076225045372051,0.32849364791288566,0.4791288566243194,23800,27600,7000,12600,37100,49500,20100,25400,28400,24400,32300,NA,0.3838,NA,0.3028,J. F. Drake State Community and Technical College,Huntsville,AL,35811,Southern Association of Colleges and Schools Commission on Colleges,www.drakestate.edu,www.drakestate.edu/admissions/net_price_calculator.aspx,1,0,1,2,1,1,5,12,NULL,9,794,543
101499,0,0,0,0,0,0,0,0.0489,0,0,0.0865,0,0,0,0,0.3346,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0.094,0.1241,0,0,0.282,0.0263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,955,0.6506238859,0.445,0.555,0.022,0.0168,0,0.0199,0.3026,0,0.0105,0,0,0.0565,0.5717,0,0.027332144966666656,0.027332144966666656,0.7308377897,0.1871657754,0.027332144966666656,0.02700533338333333,0.02700533338333333,0.6834319527,0.2307692308,0.02700533338333333,0.02700533338333333,0.02700533338333333,0.802690583,0.1210762332,0.02700533338333333,0.6024955436720143,0.3975044563279857,19863.224599,16160,0,0,0,0,0,0,0,-1,0,0,12093,NA,4088,7598,NA,NA,NA,NA,5689,0.775886524822695,0.28368794326241137,0.4921985815602837,26200,30900,6500,13400,41900,58600,23600,29800,31800,27400,36900,NA,0.5078,NA,0.5275,Jefferson Davis Community College,Brewton,AL,36426,Southern Association of Colleges and Schools Commission on Colleges,www.coastalalabama.edu,www.coastalalabama.edu,2,0,2,2,1,1,5,32,NULL,4,955,1129
101569,0,0,0,0,0,0.0121,0.0181,0.0565,0,0,0.2218,0,0.0302,0,0,0.2621,0,0,0,0,0.0282,0,0,0,0,0,0,0.0121,0,0,0.0222,0.0867,0.0383,0,0.0121,0.1089,0.0907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,2931,0.5682182986,0.4333,0.5667,0.0075,0.0024,0,0.0055,0.8079,0,0.0147,0.001,0.002,7e-4,0.1583,0,0.0022070626000000315,0.0022070626000000315,0.77929374,0.1641252006,0.0521669342,0.01749917721666668,0.01749917721666668,0.7217716781,0.2114784779,0.01749917721666668,0.01749917721666668,0.01749917721666668,0.8830146232,0.0787401575,0.01749917721666668,0.6432584269662921,0.3567415730337079,18229.648074,16187.5,0,0,1,0,0,0,0,-1,0,0,13630,NA,4380,7890,NA,NA,NA,NA,8202,0.7991049229239184,0.24763799104922923,0.5514669318746892,23400,26600,6100,12300,36500,51500,20200,25400,27800,24900,30500,NA,0.5256,NA,0.3363,Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,Southern Association of Colleges and Schools Commission on Colleges,www.lawsonstate.edu,www.lawsonstate.edu/disclosure_and_consumer_information/general_institutional_information/net_price_calculator.aspx,1,0,1,2,1,1,5,12,NULL,5,2931,1673
101602,0,0.0049,0,0,0,0,0.0194,0.0947,0,0,0.0121,0,0.034,0,0,0.3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1068,0.1505,0,0,0.2427,0.0291,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1419,0.624417521,0.3805,0.6195,0.0162,0.0056,0,0.0014,0.2495,0,0.0127,0,0.0021,0.0014,0.7111,0,0.031065548333333342,0.031065548333333342,0.7092264678,0.1975768872,0.031065548333333342,0.02796730463333334,0.02796730463333334,0.6657458564,0.2237569061,0.02796730463333334,0.02796730463333334,0.02796730463333334,0.7994269341,0.1432664756,0.02796730463333334,0.6747437092264679,0.32525629077353213,20928.068966,18213,0,0,0,0,0,0,0,-1,0,0,13558,NA,4380,7890,NA,NA,NA,NA,8004,0.7878426698450537,0.29558998808104886,0.4922526817640048,26500,32000,7900,15500,40700,60100,24400,31300,32600,27000,40200,NA,0.6184,NA,0.4666,Lurleen B Wallace Community College,Andalusia,AL,36420-1418,Southern Association of Colleges and Schools Commission on Colleges,www.lbwcc.edu,www.lbwcc.edu/financial-aid/net-price-calculator,1,0,2,2,1,1,5,41,NULL,7,1419,802
